Timestamp,Las instrucciones para aplicar a TBB eran claras,El tiempo que me tomó completar mi aplicación a TBB fue razonable,La plataforma utilizada para aplicar (Google forms) era fácil de manejar,"Los materiales que TBB ha puesto a disposición (por ejemplo, la Guía para Postular a Becas) fueron útiles",La diseminación de información para aplicar a TBB fue suficiente,"Durante el proceso de aplicación, el tiempo de respuesta a mis consultas fue corto",Que aspectos crees que deben ser considerados para seleccionar a los que se beneficiarán de las tutorías gratuitas de tu TBB:,"Si tienes otra sugerencia o recomendación para el proceso de selección, por favor, escribe a a continuación:",Cómo te enteraste sobre las tutorías gratuitas de tu TBB:
11/19/2017 2:10:40,3,4,4,3,3,1,"Motivación, las personas contamos con distintas capacidades y en ocasiones económicamente no podemos acceder a estudios superiores. Pero tenemos la capacidad para desenvolvernos en distintas áreas y contar con una oportunidad",Que existan mas y capacitaciones ,Facebook
11/19/2017 2:10:57,5,4,5,4,4,3,"Situación socio económico
",,Facebook
11/19/2017 2:11:29,3,4,4,3,3,4,Producción,"Videos de los tutores, no de personalidades",Facebook
11/19/2017 2:17:17,4,4,5,3,1,3,Motivacion,,Facebook
11/19/2017 2:22:20,3,4,5,3,3,1,,Deberían ser más claros en cuanto al proceso de selección ,Facebook
11/19/2017 2:22:30,4,4,2,2,3,4,motivación y nivel de idioma,"no usen excelencia académica, hoy en día no sirve pues docentes evalúan muy diferente unos de otros, cada carrera es diferente y mas o menos exigente, gente hace mucha trampa, miente, o paga por nota.",Facebook
11/19/2017 2:33:53,4,4,4,5,3,4,Motivación ,,Facebook
11/19/2017 2:43:41,3,4,4,4,5,3,Motivación,,Facebook
11/19/2017 2:47:40,4,5,5,5,3,3,Motivación y trayectoria profesional,Que se muestren nuestras debilidades como postulantes a becas y cuales pueden ser las becas más adecuadas en función a las mismas.,Facebook
11/19/2017 2:56:11,2,5,3,4,1,3,"Situación socioeconómica, motivación",Se debería prioridad a las personas que no cuentan con en estudio de post-grado,Tercera persona
11/19/2017 2:56:12,2,5,3,4,1,3,"Situación socioeconómica, motivación",Se debería prioridad a las personas que no cuentan con en estudio de post-grado,Tercera persona
11/19/2017 3:04:15,3,3,4,3,4,3,Motivación ,La perseverancia ,Referencia de un amigo
11/19/2017 3:05:27,5,2,3,4,3,5,SITUACIÓN SOCIO-ECONOMICA,"Ampliar la información para postular a una beca, si la hay, de otros países.",Facebook
11/19/2017 3:05:27,5,3,1,5,4,5,Indígenas originario,Voluntad,Referencia de un amigo
11/19/2017 3:06:31,4,5,4,2,3,5,Motivación y ganas,,Referencia de un amigo
11/19/2017 3:08:21,3,3,4,4,3,3,"Motivacion,situación socio economica",,Facebook
11/19/2017 3:10:18,2,3,4,3,3,4,"Motivación, nivel de idioma ",,Referencia de un amigo
11/19/2017 3:15:48,5,5,5,5,5,5,Motivacion,,Facebook
11/19/2017 3:21:44,4,4,4,4,4,2,Motivación,Incrementar cupos,Facebook
11/19/2017 3:23:51,4,4,5,4,4,3,Motivación,,Referencia de un amigo
11/19/2017 3:24:07,4,5,5,3,2,2,EXCELENCIA ACADÉMICA,,Facebook
11/19/2017 3:25:08,3,4,5,3,3,4,,,Facebook
11/19/2017 3:27:40,3,4,3,2,1,1,Nivel académico y actividades extracurriculares ,Especificar mejor los objetivos y mejorar logistica de respuesta,Facebook
11/19/2017 3:40:25,4,3,5,4,4,3,Motivación y situación económica,,Facebook
11/19/2017 3:43:42,3,4,4,3,2,1,MOTIVACION-NIVEL DEL IDIOMA,EXPERIENCIA EN EL AREA Y MEJORAMIENTO DEL PROFESIONAL,Facebook
11/19/2017 3:44:33,5,5,4,4,4,4,,,Facebook
11/19/2017 3:47:14,4,4,3,3,4,4,Motivación: capacidad y conocimientos ,,Facebook
11/19/2017 3:49:07,5,5,5,5,5,5,Motivación ,,Correo electrónico o lista de correos
11/19/2017 4:30:56,4,3,4,4,4,3,Motivación,,Facebook
11/19/2017 4:50:29,5,3,5,2,4,3,Nivel de idioma,,Facebook
11/19/2017 5:05:26,5,5,5,5,5,5,,,Facebook
11/19/2017 5:12:53,4,4,5,4,3,4,,,Facebook
11/19/2017 5:16:02,4,5,4,5,4,4,Impacto de proyecto a desarrollar durante el período de estudio ,Se debería solicitar ensayos académicos o ideas innovadoras destinadas al estudio de programas académicos innovadores ,Facebook
11/19/2017 5:19:34,4,5,5,3,4,3,Motivación,Ver el desenvolvimiento del participante a través de exposiciones,Facebook
11/19/2017 5:43:51,4,5,5,4,3,3,Excelencia academica,,Facebook
11/19/2017 5:53:51,5,4,5,5,5,3,Examen de suficiencia académica,,Facebook
11/19/2017 6:05:13,2,3,3,2,2,5,motivacion,,Facebook
11/19/2017 6:20:26,4,3,4,5,4,4,Situación socio-económica,,Facebook
11/19/2017 6:59:11,5,4,4,4,4,5,Excelencia académica y situación socioeconómica ,Masificar más la información ,Facebook
11/19/2017 7:22:00,5,5,5,5,4,3,EXCELENCIA ACADÉMICA Y MOTIVACION,,Facebook
11/19/2017 7:24:12,3,3,4,3,2,2,Motivacion ,Que puedan brindar mas informacion acerca de la becas,Facebook
11/19/2017 7:29:40,3,3,4,5,3,5,,Habilitar y tomar más en cuenta a las ciencias de la salud somos varios que queremos aplicar y no sale nada para nosotros. ,Facebook
11/19/2017 8:06:40,4,5,5,5,4,1,,Reaponder a las consutas hechas por messenger. Yo envie unas preguntas pero nunca me respondieron.,Facebook
11/19/2017 8:16:34,3,3,4,3,3,3,Motivación,,Facebook
11/19/2017 8:29:24,5,5,5,3,5,1,EXCELENCIA ACADÉMICA ,Formación académica ,Facebook
11/19/2017 8:59:57,5,4,5,5,4,4,,,Universidad
11/19/2017 9:54:16,4,5,5,4,5,5,Motivación,,Facebook
11/19/2017 10:07:52,4,5,4,4,4,4,Motivación ,,Facebook
11/19/2017 10:13:51,3,3,4,4,4,3,Excelencia académica.,,Facebook
11/19/2017 11:01:13,4,3,4,2,3,4,motivación,"Un énfasis en el nivel de interes del postulante, haciendo inclusive entrevistas, pues alguien muy motivado y obviamente interesado obtendra mejores resultados",Referencia de un amigo
11/19/2017 11:12:42,3,4,3,4,4,2,Actividades extracurriculares,Respuestas de aceptación o rechazo ya que no recibí ninguna respuesta,Facebook
11/19/2017 11:21:29,3,4,5,4,4,2,Estoy de acuerdo que sea el nivel de desempeño alcanzado en estudios y el sacrificio que demuestra la motivación que se tiene para superarse,Sugiero que en el documento de pdf que se da con los requerimientos en documentos y demás se especifique cuales de ellos requieren un formato que se puede descargar de la página para no dar lugar a confusión ,Facebook
11/19/2017 11:53:06,4,4,5,4,4,4,motivacion,,Facebook
11/19/2017 12:38:53,4,5,5,5,3,3,Excelencia academica. Situacion Socioeconomica,Mas publicidad y que esta sea expuesta en mas medios,Facebook
11/19/2017 12:39:26,3,3,4,3,4,3,Motivación ,,Facebook
11/19/2017 13:34:03,3,3,5,4,5,4,"Producción científica, publicaciones  ",Sugiero medir la producción intelectual como punto clave por ser importante en otros países promovedores de investigación y publicación científica. Y de esta forma ser compentente no solo academico mas tambien cientifico.,Universidad
11/19/2017 14:03:28,4,3,3,4,4,4,,,Facebook
11/19/2017 17:21:14,4,4,4,4,4,4,,,"Referencia de un colega, jefe, profesor u otro similar"
11/19/2017 19:08:21,3,4,5,3,3,3,"Excelencia académica, motivación","Si, sólo son tutorías deberían existir más seleccionados",Facebook
11/19/2017 21:39:49,5,4,5,5,4,5,,,Facebook
11/19/2017 22:26:07,4,5,5,4,3,3,"Motivación, idioma y excelencia académica ",Explicar más específicamente las carreras y especialidades para cada área ,Facebook
11/19/2017 22:34:52,4,2,4,1,1,4,,,Facebook
11/19/2017 22:43:11,3,4,5,3,2,4,Motivación,Que Se seleccione a los que en verdad quieran una beca ya que  es un importante parámetro para la selección del becado.,Facebook
11/19/2017 22:47:15,3,3,4,4,4,2,Motivacion,,Facebook
11/19/2017 23:06:26,3,5,5,4,2,3,"Actividades extracurriculares, como liderazgo en su comunidad.",,Facebook
11/19/2017 23:15:48,4,4,4,3,4,3,Experiencia profesional y en actividades extra curriculares,,Facebook
11/19/2017 23:39:21,4,4,4,5,5,4,,,Facebook
11/20/2017 0:15:06,3,4,4,3,3,3,Motivación ,,Referencia de un amigo
11/20/2017 0:36:32,5,3,5,4,3,2,Currículos CV,-,Facebook
11/20/2017 1:02:55,4,2,4,2,2,2,,,Facebook
11/20/2017 1:05:27,3,3,5,1,3,3,Excelencia académica y nivel de idioma,,Facebook
11/20/2017 2:44:53,3,5,4,4,4,3,,,Facebook
11/20/2017 2:49:42,5,4,4,3,3,4,Motivación y nivel de idioma,,Facebook
11/20/2017 3:48:52,4,4,4,2,3,3,Motivación,Quizá enviar correos electrónicos semanales con un resumen de becas actuales o futuras. ,Facebook
11/20/2017 3:49:08,3,4,4,5,4,3,Motivacion,,Facebook
11/20/2017 3:52:42,4,3,2,5,2,1,Situacion motivacion,,"Referencia de un colega, jefe, profesor u otro similar"
11/20/2017 4:55:34,4,4,5,4,4,5,Preentrevista,,Facebook
11/20/2017 4:57:58,4,4,4,4,4,4,Área de estudio,,Facebook
11/20/2017 5:54:41,4,5,5,3,3,3,,,Facebook
11/20/2017 6:50:07,5,4,5,4,3,2,Formación académica,,Facebook
11/20/2017 7:03:03,3,3,2,3,3,3,La motivación ,,Facebook
11/20/2017 7:35:03,2,5,4,2,2,4,situación socio-economica,,Facebook
11/20/2017 7:40:32,3,4,2,3,4,3,Situación socio -economica,,Facebook
11/20/2017 8:47:22,4,3,5,4,3,3,,,Facebook
11/20/2017 8:49:39,3,3,4,3,3,3,excelencia academica situacion socio economica motivacion,ampliacion de las notificacaciones,Facebook
11/20/2017 9:14:02,2,2,3,4,3,3,Motivación,"Respecto a dividir por maestrías o doctorados vigentes en el mundo para tener una idea mas clara y si se pudiera dividir en algunas ramas como ingeniería, salud y económicas",Facebook
11/20/2017 9:25:20,4,5,4,4,2,3,Motivación,Deberían explicar que hicieron mal en su aplicación las personas que no fueron seleccionadas para la ayuda TU BECA BOLIVIA para poder hacer la postulación de mejor manera la siguiente vez.,Facebook
11/20/2017 9:41:21,4,5,5,3,3,4,Motivación por superarse ,,Facebook
11/20/2017 9:56:59,5,5,4,4,5,2,Motivación ,,Facebook
11/20/2017 10:42:15,3,5,1,4,5,4,MOTIVACION,"NO ENCASILLAR A LOS POSTULANTES POR SU PROMEDIO EN LA UNIVERSIDAD, SE DEBERIA CONSIDERAR QUE MUCHOS TRABAJAMOS Y ESTUDIAMOS PARA ADQUIRIR UN ESTUDIO SUPERIOR Y MUCHAS VECES NO PODIAMOS DEMOSTRAR NUESTRA VERDADERA CAPACIDAD POR FACTOR TIEMPO, CONTEMPLANDO QUE SOLO PODIAMOS ESTUDIAR POR LAS NOCHES",Referencia de un amigo
11/20/2017 11:02:22,2,5,5,3,4,1,motivación nivel de idioma,,Facebook
11/20/2017 11:59:55,4,3,5,4,2,2,proyección ,mayor información disponible en las redes sociales de manera directa,Facebook
11/20/2017 12:18:02,5,5,5,4,5,3,Motivación ,,Correo electrónico o lista de correos
11/20/2017 12:46:13,3,5,5,3,2,1,Excelencia académica ,,Facebook
11/20/2017 16:58:42,4,4,5,5,3,5,,,Universidad
11/20/2017 17:02:33,4,4,5,5,5,4,MOtivacion,,Otras redes sociales
11/20/2017 20:39:47,4,5,5,5,5,3,Cómo aportaría al desarrollo de Bolivia,,Facebook
11/20/2017 20:53:54,3,4,4,2,2,3,Capacidad pra adquirir una beca,,Facebook
11/20/2017 21:04:30,3,5,5,5,4,4,EXCELENCIA ACADÉMICA Y SITUACIÓN SOCIO-ECONÓMICA,"Tal como se procedió a seleccionar las respuestas anteriores, se debería valorar la excelencia académica y analizar la situación socio-económica del postulante.",Facebook
11/20/2017 21:20:34,4,4,5,4,4,4,motivacion y nivel socio economica,,Facebook
11/20/2017 21:39:01,4,3,5,4,3,4,Motivación,,Facebook
11/20/2017 21:56:38,4,5,5,4,4,5,Experiencia profesional,"A medida que el numero de integrantes y tutores se incremente, sería recomendable procurar otorgar tutorias alternativas en razón a la rama de la que es el beneficiario. Esto con el fin de que en el posterior proceso de aplicación, el becario pueda contar con orientación académica que atienda el proceso de postulación a la rama a la que pretender aplicar. ",Facebook
11/20/2017 22:13:33,5,4,5,5,3,4,Excelencia académica y motivación,Voluntariados,Facebook
11/20/2017 22:17:22,3,5,1,3,4,3,MOTIVACION,UNA ENTREVISTA Y CAPACITACIÓN PERSONAL POR FAVOR,Facebook
11/20/2017 22:18:30,3,4,3,3,2,2,Habilidades de los postulantes,,Facebook
11/20/2017 22:31:37,5,5,5,5,5,5,DEDICACIÓN,,Facebook
11/20/2017 22:34:11,2,4,3,2,1,1,Situacion Socio-economica,"Se debería beneficiar a personas que no cuentan con algún grado de postgrado, ya que existen personas que no cuentan con los recursos suficientes para optar a este tipo de estudios, a pesar de tener una gran capacidad.",casualidad
11/20/2017 22:37:21,4,3,4,4,4,1,Excelencia académica y motivación,,Facebook
11/20/2017 22:49:48,3,2,4,2,2,3,motivación,"dar mas información de las becas existentes, para una mejor selección",Facebook
11/20/2017 22:50:07,3,3,4,2,2,3,,,Facebook
11/20/2017 23:10:33,3,5,4,4,3,4,experiencia,,Facebook
11/20/2017 23:25:11,3,4,4,5,3,2,Motivacion y situacion socioeconomica ,,Facebook
11/20/2017 23:31:11,4,2,4,4,2,4,Aclaración de dudas,Nivel de interés,Facebook
11/20/2017 23:57:42,3,4,4,4,3,4,motivacion,,Facebook
11/21/2017 0:35:04,3,3,5,4,3,3,,,Facebook
11/21/2017 0:45:19,3,3,3,3,3,3,"Motivacion 
",Excelencia academica en base a cada universidad porque varian en el promedio de calificacion ,Facebook
11/21/2017 0:59:29,4,5,5,4,3,1,,,Facebook
11/21/2017 1:06:59,2,1,1,1,2,1,Capacidad ,,Facebook
11/21/2017 2:43:01,4,5,3,4,3,3,,,Facebook
11/21/2017 2:43:01,4,5,3,4,3,3,,,Facebook
11/21/2017 2:43:25,4,4,3,4,3,3,MOTIVACION,,Facebook
11/21/2017 4:05:58,5,5,5,5,5,4,,,Facebook
11/21/2017 4:08:20,5,5,5,5,5,5,,,Facebook
11/21/2017 4:39:24,4,5,5,5,5,4,Excelencia academica y Nivel del Idioma son suficientes en mi opinion.,Poder elegir que tutores prefieres o crees que te podrian ser de mas ayuda de acuerdo a la beca que quieres postular.,Facebook
11/21/2017 5:37:47,4,5,4,4,4,4,"Motivacion, ya que el que quiere , puede.",,Facebook
11/21/2017 5:49:39,4,4,5,2,2,4,Motivacion y excelencia academica,"Que se envie un correo con un ""gracias por participar"" a los estudiantes que no ganaron",Facebook
11/21/2017 5:58:19,4,3,5,2,2,3,,,Facebook
11/21/2017 5:58:39,3,3,5,3,3,2,Motivacion,,Facebook
11/21/2017 5:58:52,3,3,5,3,3,2,Motivacion,,Facebook
11/21/2017 6:08:19,4,5,5,4,4,4,"Nivel del idioma
",,Facebook
11/21/2017 6:14:51,4,4,4,4,4,4,el interés y las ganas de superación personal,,Correo electrónico o lista de correos
11/21/2017 6:23:39,2,3,5,2,1,3,Excelencia académica,Enviar al correo de los aplicantes el estado de la postulación,Facebook
11/21/2017 7:00:52,5,5,5,5,4,5,"Motivación, excelencia, idioma, situación económica",,Facebook
11/21/2017 7:19:18,3,3,3,4,4,4,La Universidad en la cual estudian porque todas tienen distintas dificultades en diferentes carreras y sería injusto basarse en su promedio ,,"Referencia de un colega, jefe, profesor u otro similar"
11/21/2017 7:58:42,2,2,3,1,2,2,,,Facebook
11/21/2017 8:54:17,3,4,3,4,3,4,Motivacion ,,Facebook
11/21/2017 8:56:00,3,4,3,5,3,2,EXCELENCIA ACADEMICA,"CONSIDERO QUE EL NIVEL DE IDIOMA, Y LA MOTIVACION TAMBIEN SON IMPORTANTES",Institución diplomatica (embajada o consulado de un país)
11/21/2017 9:24:50,4,2,4,4,1,3,LIDERAZGO,"Sigan Adelante, tienen en Sucre alguien que puede diseminar las oportunidades",Facebook
11/21/2017 10:02:10,4,5,5,5,4,3,Situación socioeconómica ,,Otras redes sociales
11/21/2017 12:01:27,2,2,1,2,2,3,Motivacion,,Facebook
11/21/2017 12:20:37,5,5,5,4,5,5,investigación y publicaciones,,Facebook
11/21/2017 13:00:17,4,4,5,3,4,5,Nivel académico y la motivación,,Facebook
11/21/2017 21:11:01,3,3,3,3,4,3,Motivación y desempeño ,,Facebook
11/21/2017 21:38:22,3,4,4,4,3,3,Situación socio económica ,,Facebook
11/21/2017 21:47:29,5,5,5,5,4,3,habilidades en deporte que pueda relacionarse de alguna forma con el tipo de beca,,Facebook
11/21/2017 22:00:58,2,3,4,5,3,2,"Premiación o reconocimientos, así como producción intelectual",,Facebook
11/21/2017 23:16:47,3,4,5,4,3,3,Motivacion,,Facebook
11/21/2017 23:58:56,5,4,5,5,4,4,,,Facebook
11/22/2017 0:27:58,4,4,4,4,4,4,Motivación,,Correo electrónico o lista de correos
11/22/2017 1:11:56,3,2,3,1,5,4,"Excelencia académica, nivel de idioma y motivación","Creo que es importante volver a enviar los materiales informativos de TBB mediante correo a los postulantes ya que muchos (entre ellos, mi persona) llenaron el formulario sin conocer de estos.",Referencia de un amigo
11/22/2017 1:27:34,5,5,4,5,4,4,Motivación ,,Televisión 
11/22/2017 2:47:03,2,2,3,1,2,2,,,Facebook
11/22/2017 3:46:53,2,2,2,4,2,3,Motivación ,Ser más precisos con la información del concurso ,Facebook
11/22/2017 4:47:04,5,4,5,5,5,5,Excelencia académica,Situación económica,Correo electrónico o lista de correos
11/22/2017 7:30:43,4,4,4,4,1,3,,,Facebook
11/22/2017 8:00:00,5,4,5,5,5,5,Excelencia académica,Situación socio económica,Correo electrónico o lista de correos
11/22/2017 8:53:42,4,5,4,3,3,3,Motivación ,,Facebook
11/22/2017 9:36:27,2,2,2,2,2,2,MOTIVACIÒN,,Facebook
11/22/2017 11:21:43,4,4,3,4,3,4,,,Facebook
11/22/2017 11:28:21,3,4,4,4,2,3,,,Facebook
11/22/2017 11:40:28,3,3,5,3,3,3,Motivación,,Facebook
11/22/2017 11:40:29,3,3,4,3,3,2,concursos y experiencia en trabajos iniciales en la vida profesional ,,Facebook
11/22/2017 21:41:28,4,4,5,3,2,1,Experiencia,,Facebook
11/22/2017 21:57:23,5,5,5,3,5,3,"LA MOTIVACIÓN, NIVEL DEL IDIOMA, SITUACION SOCIO ECONOMICA Y EXCELENCIA ACADÉMICA","Cuando estén eligiendo candidatos y los van rechazando, sugiero que expliquen las razones por las que lo hacen, por ejemplo: como que su motivación o excelencia académica no es suficiente y/u otras razones para que así el postulante se de cuenta de los errores que cometió y pueda solucionarlos, sirviéndole como antecedente para próximas postulaciones",Facebook
11/23/2017 4:17:02,4,4,4,5,5,4,,,Facebook
11/23/2017 7:10:21,4,4,4,4,3,3,,,Facebook
11/23/2017 9:24:21,2,2,3,3,2,1,Actividades extracurriculares y habilidades ,,Facebook
11/23/2017 21:15:38,4,4,4,5,3,3,,,Facebook
11/23/2017 21:25:14,5,5,5,5,5,5,,,Facebook
11/23/2017 22:15:15,4,5,5,4,4,3,"Excelencia Académica, Motivación",Puede ser posible separarlo por áreas para tener una elección entre estudiantes bajo las similares características (Un Ingeniero no es igual a un Artista) Y por favor si es posible aumentar el número de beneficiados. Gracias y Saludos!,Facebook
11/24/2017 3:44:41,5,5,5,5,5,5,Idea clara de planes a futuro,,Facebook
11/24/2017 4:20:19,2,2,3,3,2,3,,,Facebook
11/24/2017 5:18:57,1,1,4,1,1,1,,Pidieron tanta información y nunca me llego nada,Facebook
11/24/2017 7:39:43,4,5,4,4,5,4,MOTIVACION,,Facebook
11/24/2017 7:40:10,3,4,4,4,4,3,Situación familiar,,Facebook
11/24/2017 7:54:10,5,5,5,4,5,4,Motivacion,Es importante despues de una pre - seleccion comunicar inmediatamente si la persona fue elegida o no.,busque personalmente y la encontré por facebook
11/24/2017 21:53:57,4,3,4,1,2,5,Motivacion,,Facebook
11/25/2017 7:07:33,3,4,4,4,4,4,MOTIVACION,,Facebook
11/25/2017 21:55:32,4,3,5,5,5,3,MOTIVACIÓN,,Facebook
11/26/2017 0:40:02,3,5,5,3,3,3,Motivación y Situacion Socio-Economica ,El proceso de selleccion deberia tener un orden claro de los pasos requeridos para la postulacion.,Facebook
11/26/2017 7:11:20,4,4,5,5,3,3,MOTIVACIÓN,"EN EL PROCESO DE SELECCIÓN INFORMAR SI EXISTEN POSIBILIDADES DE OPCIÓN A BECA, Y CUÁLES SON. Y SI NO SON SELECCIONADOS DAR SUGERENCIAS SOBRE OTRAS OPORTUNIDADES.",Referencia de un amigo
11/26/2017 10:35:54,5,5,5,5,5,1,"Excelencia academica, nivel de idioma",,Otras redes sociales
11/26/2017 17:23:25,4,5,5,5,4,3,Proyectos de investigación o de interacción social,,Facebook
11/26/2017 23:07:34,5,5,5,5,5,5,Excelencia académica,Ninguna,Correo electrónico o lista de correos
11/27/2017 5:57:35,4,4,5,3,3,3,Experiencia laboral ,,Facebook
11/28/2017 0:10:14,1,2,1,3,3,3,Motivacion ,,Facebook
11/28/2017 1:16:08,5,5,5,4,4,5,"motivacion, situacion socio-economica",,Facebook
11/28/2017 2:27:30,3,3,4,2,1,4,motivacion,Agruparlos por áreas. Para poder dirigir mejor las becas,entrevista a cadena A
11/28/2017 22:12:48,4,4,5,5,3,4,Situación socio economica ,Mejorar la difusión de la beca y debería haber una manera de ver como se están calificando a los postulantes por TRANSPARENCIA ,Facebook
11/29/2017 2:37:28,3,3,3,4,4,2,motivacion,,Facebook
11/29/2017 5:09:05,3,3,3,3,3,3,Nivel de idioma,,Facebook
11/29/2017 23:33:37,5,5,5,4,4,4,situación socio-económica y motivación,"Pienso que el nivel académico es importante y es lo que la mayoría espera, pero no todos tienen un mismo estilo de  viva diario que al paso del tiempo también influyen en el desempeño académico del profesional, tanto una persona que tenga un mejor nivel académico como una persona que alcance la motivación de cumplir un sueño o meta de estudiar en el extranjero para obtener una mejor formación , especializarse e implementarlo a futuro en su país, no queda fuera del factor intelectual que se necesita para aplicar a este tipo de becas, cualquier persona con una meta y un sueño puede llegar a lograr cualquier objetivo propuesto.",Facebook
11/30/2017 0:31:08,5,5,5,4,4,4,"cada aspecto tiene su propio beneficio y cada persona puede sacar la oportunidad dependiendo su situación actual, en mi caso yo seleccionaría nivel del idioma, motivación y situación económica.","La motivación de aprender y desempeñarse como profesional, tener la oportunidad de saber los objetivos trazados de cada postulantes para aplicar a las becas ya que la situación actual de una persona puede impulsar al crecimiento diario como profesional si tiene una motivación y objetivo claro dentro de sus metas.",Referencia de un amigo
12/1/2017 8:39:11,4,3,4,3,3,1,"motivación, para que los profesionales sigan creciendo y tengan futuro de crecimiento  personal y en el trabajo","entrevistas, o actividades grupales para encontrar lideres",Referencia de un amigo
12/1/2017 10:55:29,4,4,4,4,4,4,Motivación,,Facebook
12/1/2017 17:17:24,3,4,4,5,3,1,,,Facebook
12/2/2017 3:28:38,3,2,2,4,1,2,"Situacion economica y por excelencia
",Deberian hacerles entrevistas a todos los q estan solicitando las becas,Facebook
12/2/2017 6:16:13,5,5,5,4,5,5,Motivación y excelencia academica,,Facebook
12/3/2017 10:36:37,5,4,4,5,4,5,,,Facebook
12/3/2017 23:44:42,4,4,4,4,4,2,MOTIVACION,,Facebook
12/4/2017 10:11:53,5,3,4,4,3,4,Situación socio-economica,Qué consideren a los menos beneficiados,Universidad
12/4/2017 23:56:24,5,5,5,5,5,4,,,Facebook
12/6/2017 1:40:17,5,5,5,5,5,4,Experiencia en Investigación ,Lo del aspecto socio-económico me parece innecesario. Todos tenemos las mismas posibilidades de ganarnos una beca. Lo importante es la motivación.,Facebook
12/6/2017 4:11:11,3,4,5,4,5,2,Motivacion y situacion socioeconimica,,Facebook
12/6/2017 10:01:05,4,5,5,5,3,4,Motivación,,Facebook
12/7/2017 1:18:47,3,3,2,4,4,4,EXCELENCIA ACADEMICA,,Otras redes sociales
12/7/2017 2:58:01,2,4,4,3,2,4,"MOTIVACION, SITUACION SOCIO-ECONÓMICA, EXCELENCIA ACADEMICA Y NIVEL DEL IDIOMA",APORTE INTELECTUAL EN EL AREA DE MAESTRIA QUE POSTULA,Facebook
12/7/2017 16:50:53,2,3,2,1,1,2,,"No entiendo como evaluaron los aspectos que ustedes consideran, si en el CV no hay manera de comprobar la excelencia academica ni la situacion socio-economica ni mucho menos la motivacion",Facebook
12/8/2017 2:08:46,3,3,5,4,1,3,"la verdad me haya encantado una beca , estare pendiente si.",,Facebook
12/8/2017 11:22:45,5,5,5,5,5,5,Experiencia laboral ,,Facebook
12/11/2017 0:33:41,4,4,4,4,3,3,"Motivation, experiencia laborales ","Motivation, experiencia laborales ",Facebook
